Episode,Reward,Deliveries
0,-4.6149999999999585,0
1,-4.594999999999955,0
2,-4.974999999999938,0
3,-5.0149999999999375,0
4,-4.88499999999994,0
5,-4.994999999999938,0
6,-4.90499999999994,0
7,-5.009999999999938,0
8,-4.90499999999994,0
9,-4.644999999999957,0
10,-5.0599999999999365,0
11,-11.904999999999944,0
12,-5.009999999999938,0
13,-4.999999999999938,0
14,-10.604999999999942,0
15,-4.694999999999954,0
16,-4.994999999999938,0
17,-4.984999999999938,0
18,-5.019999999999937,0
19,-5.004999999999938,0
20,-4.629999999999957,0
21,-4.994999999999938,0
22,-5.009999999999938,0
23,-10.714999999999941,0
24,-4.90999999999994,0
25,-4.989999999999938,0
26,-22.08499999999998,0
27,-5.024999999999937,0
28,-4.674999999999955,0
29,-5.004999999999938,0
30,-5.004999999999938,0
31,-4.644999999999958,0
32,-5.004999999999938,0
33,-5.009999999999938,0
34,-22.10999999999998,0
35,-4.949999999999939,0
36,-22.314999999999976,0
37,-4.964999999999939,0
38,-4.984999999999938,0
39,-4.644999999999957,0
40,-5.009999999999938,0
41,-4.984999999999938,0
42,-4.999999999999938,0
43,-5.0149999999999375,0
44,-4.994999999999938,0
45,-4.979999999999938,0
46,-4.954999999999939,0
47,-4.644999999999958,0
48,-4.669999999999956,0
49,-4.994999999999938,0
50,-4.87999999999994,0
51,-4.999999999999938,0
52,-4.559999999999956,0
53,-4.999999999999938,0
54,-4.854999999999941,0
55,-5.009999999999938,0
56,-4.88499999999994,0
57,-4.844999999999941,0
58,-4.974999999999938,0
59,-15.954999999999961,0
60,-4.999999999999938,0
61,-4.994999999999938,0
62,-4.639999999999958,0
63,-5.009999999999938,0
64,-4.89999999999994,0
65,-22.169999999999977,0
66,-4.6599999999999575,0
67,-4.8749999999999405,0
68,-4.6599999999999575,0
69,-5.0149999999999375,0
70,-4.999999999999938,0
71,-4.88999999999994,0
72,-4.854999999999941,0
73,-4.87999999999994,0
74,-5.004999999999938,0
75,-4.984999999999938,0
76,-4.87999999999994,0
77,-21.67999999999998,0
