episode,n_steps,duration_s,team_total_reward,team_reward_per_step,agent_0_total,agent_1_total
205,500,0.0,3.425,0.00685,1.1,2.325
206,500,0.0,2.7,0.0054,1.6,1.1
207,500,0.0,-0.9,-0.0018,0.85,-1.75
208,500,0.0,5.075,0.01015,2.575,2.5
209,500,0.0,-0.35,-0.0007,-0.25,-0.1
210,500,0.0,2.05,0.0041,-0.05,2.1
211,500,0.0,-2.25,-0.0045,-0.825,-1.425
212,500,0.0,-0.075,-0.00015,-1.7,1.625
213,500,0.0,2.0,0.004,1.825,0.175
214,500,0.0,2.75,0.0055,2.2,0.55
215,500,0.0,0.225,0.00045,1.675,-1.45
216,500,0.0,-1.3,-0.0026,-0.025,-1.275
217,500,0.0,2.575,0.00515,3.15,-0.575
218,500,0.0,1.95,0.0039,1.025,0.925
219,500,0.0,1.2,0.0024,0.925,0.275
220,500,0.0,-1.4,-0.0028,-0.925,-0.475
221,500,0.0,1.325,0.00265,1.0,0.325
222,500,0.0,0.2,0.0004,1.3,-1.1
223,500,0.0,-3.95,-0.0079,-2.375,-1.575
224,500,0.0,0.5,0.001,1.025,-0.525
225,500,0.0,2.1,0.0042,1.175,0.925
226,500,0.0,0.175,0.00035,0.925,-0.75
227,500,0.0,0.55,0.0011,-1.575,2.125
228,500,0.0,1.4,0.0028,-0.225,1.625
229,500,0.0,2.325,0.00465,1.425,0.9
230,500,0.0,2.6,0.0052,2.75,-0.15
231,500,0.0,1.725,0.00345,-0.85,2.575
232,500,0.0,2.575,0.00515,1.25,1.325
233,500,0.0,2.675,0.00535,0.775,1.9
234,500,0.0,0.125,0.00025,-0.575,0.7
235,500,0.0,0.15,0.0003,1.4,-1.25
236,500,0.0,0.8,0.0016,2.175,-1.375
237,500,0.0,2.2,0.0044,1.075,1.125
238,500,0.0,-2.925,-0.00585,0.5,-3.425
239,500,0.0,1.45,0.0029,0.65,0.8
240,500,0.0,4.1,0.0082,1.85,2.25
241,500,0.0,1.125,0.00225,-0.125,1.25
242,500,0.0,-0.3,-0.0006,-0.25,-0.05
243,500,0.0,1.825,0.00365,1.875,-0.05
244,500,0.0,4.025,0.00805,2.35,1.675
245,500,0.0,-0.3,-0.0006,1.425,-1.725
246,500,0.0,0.95,0.0019,2.5,-1.55
247,500,0.0,2.525,0.00505,2.775,-0.25
248,500,0.0,3.125,0.00625,1.3,1.825
249,500,0.0,2.575,0.00515,2.1,0.475
250,500,0.0,3.125,0.00625,1.55,1.575
251,500,0.0,1.325,0.00265,0.975,0.35
252,500,0.0,-3.125,-0.00625,1.7,-4.825
253,500,0.0,3.95,0.0079,2.125,1.825
254,500,0.0,2.125,0.00425,1.4,0.725
255,500,0.0,-0.575,-0.00115,0.8,-1.375
256,500,0.0,-0.425,-0.00085,-1.425,1.0
257,500,0.0,3.95,0.0079,1.975,1.975
258,500,0.0,0.725,0.00145,0.375,0.35
259,500,0.0,1.3,0.0026,-0.2,1.5
260,500,0.0,3.625,0.00725,1.65,1.975
261,500,0.0,2.525,0.00505,0.4,2.125
262,500,0.0,3.8,0.0076,1.9,1.9
263,500,0.0,4.2,0.0084,2.125,2.075
264,500,0.0,4.25,0.0085,1.625,2.625
265,500,0.0,0.925,0.00185,0.3,0.625
266,500,0.0,3.5,0.007,0.825,2.675
267,500,0.0,2.825,0.00565,-0.2,3.025
268,500,0.0,1.675,0.00335,0.7,0.975
269,500,0.0,3.45,0.0069,1.55,1.9
270,500,0.0,0.425,0.00085,0.375,0.05
271,500,0.0,3.35,0.0067,1.45,1.9
272,500,0.0,1.325,0.00265,2.875,-1.55
273,500,0.0,-0.275,-0.00055,0.9,-1.175
274,500,0.0,4.15,0.0083,1.825,2.325
275,500,0.0,2.6,0.0052,1.5,1.1
276,500,0.0,5.15,0.0103,2.675,2.475
277,500,0.0,1.475,0.00295,2.75,-1.275
278,500,0.0,3.45,0.0069,1.325,2.125
279,500,0.0,-3.85,-0.0077,-2.15,-1.7
280,500,0.0,5.175,0.01035,1.85,3.325
281,500,0.0,1.0,0.002,0.775,0.225
282,500,0.0,-1.1,-0.0022,2.4,-3.5
283,500,0.0,0.05,0.0001,1.025,-0.975
284,500,0.0,1.45,0.0029,0.425,1.025
285,500,0.0,0.35,0.0007,-1.875,2.225
286,500,0.0,1.625,0.00325,-1.15,2.775
287,500,0.0,3.075,0.00615,1.975,1.1
288,500,0.0,2.9,0.0058,1.975,0.925
289,500,0.0,0.15,0.0003,-0.675,0.825
290,500,0.0,0.675,0.00135,-1.05,1.725
291,500,0.0,0.125,0.00025,0.425,-0.3
292,500,0.0,3.325,0.00665,1.45,1.875
293,500,0.0,0.675,0.00135,-1.825,2.5
294,500,0.0,-3.475,-0.00695,-1.175,-2.3
295,500,0.0,3.675,0.00735,1.9,1.775
296,500,0.0,1.125,0.00225,2.7,-1.575
297,500,0.0,-1.375,-0.00275,-0.375,-1.0
298,500,0.0,4.175,0.00835,2.475,1.7
299,500,0.0,0.75,0.0015,-1.975,2.725
300,500,0.0,1.425,0.00285,-1.325,2.75
301,500,0.0,3.25,0.0065,1.825,1.425
302,500,0.0,1.475,0.00295,2.2,-0.725
303,500,0.0,3.575,0.00715,2.325,1.25
304,500,0.0,1.75,0.0035,1.15,0.6
305,500,0.0,0.2,0.0004,-1.025,1.225
306,500,0.0,0.95,0.0019,-1.75,2.7
307,500,0.0,1.4,0.0028,-0.9,2.3
308,500,0.0,5.075,0.01015,2.875,2.2
309,500,0.0,2.95,0.0059,2.0,0.95
310,500,0.0,-1.6,-0.0032,1.625,-3.225
311,500,0.0,4.875,0.00975,2.175,2.7
312,500,0.0,4.75,0.0095,2.575,2.175
313,500,0.0,1.975,0.00395,2.175,-0.2
