Episode,Reward,Deliveries
0,10.700000000000005,10
1,13.000000000000005,12
2,4.699999999999991,3
3,16.575000000000024,15
4,9.499999999999998,8
5,12.35,11
6,5.399999999999996,4
7,9.674999999999992,8
8,5.7249999999999694,4
9,13.100000000000007,12
10,7.249999999999982,6
11,8.249999999999984,7
12,6.499999999999987,5
13,4.574999999999989,3
14,7.224999999999976,5
15,15.025,14
16,12.42499999999999,11
17,12.275000000000007,6
18,3.6000000000000005,2
19,5.874999999999984,4
20,12.42500000000001,11
21,24.70000000000003,24
22,14.050000000000011,13
23,3.6000000000000028,2
24,14.125000000000007,13
25,10.125000000000012,9
26,9.274999999999988,8
27,5.899999999999996,5
28,6.674999999999979,5
29,9.374999999999993,8
30,18.850000000000026,18
31,5.249999999999978,4
32,7.699999999999981,6
33,6.274999999999976,5
34,10.075000000000003,9
35,4.699999999999987,3
36,15.375000000000002,14
37,13.925000000000004,13
38,9.424999999999981,8
39,8.049999999999995,7
40,11.299999999999999,10
41,9.174999999999985,8
42,13.350000000000014,12
43,3.524999999999997,2
44,17.87500000000003,17
45,4.299999999999994,2
46,3.5249999999999972,2
47,6.399999999999991,5
48,5.47499999999999,4
49,5.599999999999983,4
50,7.59999999999998,6
51,8.474999999999998,7
52,11.07499999999999,10
53,7.974999999999992,7
54,4.59999999999999,3
55,8.274999999999997,7
56,21.17500000000005,10
57,10.099999999999993,9
58,6.2249999999999766,5
59,12.325,11
60,6.174999999999994,5
61,10.850000000000005,9
62,6.174999999999976,5
63,13.025000000000006,12
64,11.799999999999995,10
65,8.07499999999998,7
66,8.3,7
67,5.5999999999999925,4
68,8.199999999999998,7
69,10.925000000000002,10
70,7.124999999999982,6
71,17.97500000000001,17
72,5.599999999999997,4
73,8.19999999999999,7
74,5.449999999999981,4
75,10.399999999999999,9
76,5.224999999999991,4
77,8.424999999999976,7
78,15.350000000000009,14
79,6.3499999999999845,5
80,11.275,10
81,8.625000000000005,7
82,9.14999999999999,8
83,12.200000000000014,11
84,5.849999999999978,5
85,12.749999999999996,11
86,5.099999999999992,4
87,10.024999999999995,9
88,15.200000000000006,14
89,4.674999999999989,3
90,3.6999999999999953,2
91,6.274999999999983,5
92,8.89999999999999,8
93,13.025,12
94,10.299999999999997,9
95,6.799999999999971,5
96,6.199999999999979,5
97,6.724999999999986,5
98,7.924999999999984,6
99,4.124999999999996,3
100,11.900000000000002,11
101,4.749999999999985,3
102,11.375000000000009,10
103,18.500000000000032,17
104,10.249999999999993,9
105,6.399999999999979,5
106,8.999999999999984,8
107,12.825000000000003,12
108,10.175000000000002,9
109,8.64999999999999,7
110,7.174999999999991,6
111,6.3999999999999915,5
112,5.849999999999965,4
113,5.624999999999979,4
114,9.324999999999996,8
115,12.42500000000001,11
116,10.074999999999992,9
117,12.050000000000002,11
118,7.824999999999994,7
119,5.999999999999991,5
120,4.624999999999982,3
121,4.924999999999991,3
122,14.100000000000007,13
123,13.52500000000001,12
124,11.975000000000003,5
125,9.299999999999994,8
126,6.474999999999982,5
127,8.649999999999986,7
128,7.8249999999999815,6
129,13.275000000000006,12
130,6.824999999999984,5
131,6.024999999999976,4
132,12.400000000000002,11
133,14.150000000000007,13
134,9.774999999999995,8
135,12.575000000000005,11
136,10.824999999999992,4
137,7.37499999999998,6
138,12.599999999999998,11
139,6.799999999999974,5
140,10.40000000000001,9
141,16.574999999999996,10
142,10.375000000000005,9
143,6.2999999999999865,5
144,16.27500000000002,10
145,7.624999999999975,6
146,15.47500000000001,9
147,5.574999999999989,4
148,6.09999999999999,5
149,5.9999999999999725,4
150,8.349999999999993,7
151,5.599999999999984,4
152,7.12499999999999,6
153,8.450000000000003,7
154,14.224999999999996,13
155,4.274999999999994,3
156,13.024999999999984,12
157,6.699999999999985,5
158,13.375000000000009,12
159,8.849999999999998,7
160,6.174999999999971,5
161,4.799999999999985,3
162,8.024999999999974,6
163,4.7999999999999945,3
164,9.27499999999999,8
165,10.175000000000002,9
166,7.72499999999999,6
167,9.324999999999996,8
168,7.399999999999988,6
169,12.650000000000006,6
170,7.524999999999983,6
171,8.149999999999991,7
172,13.649999999999997,12
173,4.799999999999989,3
174,13.450000000000015,12
175,9.450000000000005,8
176,4.674999999999983,3
177,13.174999999999999,12
178,11.249999999999995,10
179,6.249999999999979,5
180,5.899999999999995,4
181,7.449999999999981,6
182,8.549999999999986,7
183,7.524999999999981,6
184,7.274999999999979,6
185,16.325000000000006,15
186,13.349999999999998,12
187,8.249999999999982,7
188,17.725000000000016,17
189,6.524999999999991,5
190,10.324999999999992,9
191,10.025000000000004,9
192,13.049999999999986,12
193,12.325000000000001,11
194,16.250000000000004,15
195,4.474999999999993,3
196,19.150000000000027,18
197,17.250000000000025,16
198,6.1749999999999785,5
199,7.0749999999999735,5
200,12.500000000000005,11
201,4.5999999999999925,2
