Episode: 5900/3000000 | Reward: -5.34 | Epsilon: 1.00 | Deliveries: 0 | Time: 4099.3s
Episode: 6000/3000000 | Reward: -6.12 | Epsilon: 1.00 | Deliveries: 0 | Time: 4167.9s
Episode: 6100/3000000 | Reward: -6.38 | Epsilon: 1.00 | Deliveries: 0 | Time: 4233.3s
Episode: 6200/3000000 | Reward: -9.64 | Epsilon: 1.00 | Deliveries: 0 | Time: 4299.5s
Episode: 6300/3000000 | Reward: -7.19 | Epsilon: 1.00 | Deliveries: 0 | Time: 4367.0s
Episode: 6400/3000000 | Reward: -4.55 | Epsilon: 1.00 | Deliveries: 0 | Time: 4435.7s
Episode: 6500/3000000 | Reward: -5.23 | Epsilon: 1.00 | Deliveries: 0 | Time: 4499.8s
Episode: 6600/3000000 | Reward: -9.43 | Epsilon: 1.00 | Deliveries: 0 | Time: 4561.9s
Episode: 6700/3000000 | Reward: -5.36 | Epsilon: 1.00 | Deliveries: 0 | Time: 4624.3s
Episode: 6800/3000000 | Reward: -5.75 | Epsilon: 1.00 | Deliveries: 0 | Time: 4686.6s
Episode: 6900/3000000 | Reward: -5.63 | Epsilon: 1.00 | Deliveries: 0 | Time: 4749.0s
Episode: 7000/3000000 | Reward: -4.16 | Epsilon: 1.00 | Deliveries: 1 | Time: 4812.6s
Episode: 7100/3000000 | Reward: -5.26 | Epsilon: 1.00 | Deliveries: 0 | Time: 4884.1s
Episode: 7200/3000000 | Reward: -4.31 | Epsilon: 1.00 | Deliveries: 0 | Time: 4949.7s
Episode: 7300/3000000 | Reward: -4.84 | Epsilon: 1.00 | Deliveries: 0 | Time: 5011.7s
Episode: 7400/3000000 | Reward: -5.14 | Epsilon: 1.00 | Deliveries: 0 | Time: 5074.8s
Episode: 7500/3000000 | Reward: -4.60 | Epsilon: 1.00 | Deliveries: 0 | Time: 5137.2s
Episode: 7600/3000000 | Reward: -5.14 | Epsilon: 1.00 | Deliveries: 0 | Time: 5198.4s
Episode: 7700/3000000 | Reward: -7.07 | Epsilon: 1.00 | Deliveries: 0 | Time: 5260.5s
Episode: 7800/3000000 | Reward: -4.83 | Epsilon: 1.00 | Deliveries: 0 | Time: 5323.1s
Episode: 7900/3000000 | Reward: -4.65 | Epsilon: 1.00 | Deliveries: 0 | Time: 5390.7s
Episode: 8000/3000000 | Reward: -4.94 | Epsilon: 1.00 | Deliveries: 0 | Time: 5459.1s
Episode: 8100/3000000 | Reward: -6.11 | Epsilon: 1.00 | Deliveries: 0 | Time: 5539.1s
Episode: 8200/3000000 | Reward: -5.13 | Epsilon: 1.00 | Deliveries: 0 | Time: 5602.8s
Episode: 8300/3000000 | Reward: -10.42 | Epsilon: 1.00 | Deliveries: 0 | Time: 5663.7s
Episode: 8400/3000000 | Reward: -6.36 | Epsilon: 1.00 | Deliveries: 0 | Time: 5727.5s
Episode: 8500/3000000 | Reward: -5.07 | Epsilon: 1.00 | Deliveries: 0 | Time: 5790.5s
Episode: 8600/3000000 | Reward: -4.90 | Epsilon: 1.00 | Deliveries: 0 | Time: 5851.7s
Episode: 8700/3000000 | Reward: -4.90 | Epsilon: 1.00 | Deliveries: 0 | Time: 5914.1s
Episode: 8800/3000000 | Reward: -5.17 | Epsilon: 1.00 | Deliveries: 0 | Time: 5975.0s
Episode: 8900/3000000 | Reward: -6.43 | Epsilon: 1.00 | Deliveries: 0 | Time: 6035.6s
Episode: 9000/3000000 | Reward: -8.72 | Epsilon: 1.00 | Deliveries: 0 | Time: 6096.6s
Episode: 9100/3000000 | Reward: -4.41 | Epsilon: 1.00 | Deliveries: 0 | Time: 6157.8s
Episode: 9200/3000000 | Reward: -8.18 | Epsilon: 1.00 | Deliveries: 0 | Time: 6218.3s
Episode: 9300/3000000 | Reward: -4.93 | Epsilon: 1.00 | Deliveries: 1 | Time: 6281.8s
Episode: 9400/3000000 | Reward: -5.71 | Epsilon: 1.00 | Deliveries: 0 | Time: 6347.4s
Episode: 9500/3000000 | Reward: -6.57 | Epsilon: 1.00 | Deliveries: 1 | Time: 6409.2s
Episode: 9600/3000000 | Reward: -7.50 | Epsilon: 1.00 | Deliveries: 0 | Time: 6470.2s
Episode: 9700/3000000 | Reward: -8.10 | Epsilon: 1.00 | Deliveries: 0 | Time: 6530.8s
Episode: 9800/3000000 | Reward: -5.00 | Epsilon: 1.00 | Deliveries: 0 | Time: 6592.2s
Episode: 9900/3000000 | Reward: -5.44 | Epsilon: 1.00 | Deliveries: 0 | Time: 6656.9s
Episode: 10000/3000000 | Reward: -4.10 | Epsilon: 1.00 | Deliveries: 0 | Time: 6719.5s
Episode: 10100/3000000 | Reward: -4.71 | Epsilon: 1.00 | Deliveries: 0 | Time: 6780.4s
Episode: 10200/3000000 | Reward: -4.60 | Epsilon: 1.00 | Deliveries: 0 | Time: 6841.5s
Episode: 10300/3000000 | Reward: -5.16 | Epsilon: 1.00 | Deliveries: 0 | Time: 6904.3s
Episode: 10400/3000000 | Reward: -8.37 | Epsilon: 1.00 | Deliveries: 0 | Time: 6967.7s
Episode: 10500/3000000 | Reward: -5.05 | Epsilon: 1.00 | Deliveries: 0 | Time: 7028.4s
Episode: 10600/3000000 | Reward: -5.15 | Epsilon: 1.00 | Deliveries: 0 | Time: 7089.3s
Episode: 10700/3000000 | Reward: -6.16 | Epsilon: 1.00 | Deliveries: 0 | Time: 7150.1s
Episode: 10800/3000000 | Reward: -5.48 | Epsilon: 1.00 | Deliveries: 0 | Time: 7211.0s
Episode: 10900/3000000 | Reward: -4.70 | Epsilon: 1.00 | Deliveries: 0 | Time: 7273.2s
Episode: 11000/3000000 | Reward: -4.56 | Epsilon: 1.00 | Deliveries: 0 | Time: 7335.1s
Episode: 11100/3000000 | Reward: -8.85 | Epsilon: 0.99 | Deliveries: 1 | Time: 7403.3s
Episode: 11200/3000000 | Reward: -4.90 | Epsilon: 0.99 | Deliveries: 0 | Time: 7464.8s
Episode: 11300/3000000 | Reward: -5.61 | Epsilon: 0.99 | Deliveries: 0 | Time: 7527.0s
Episode: 11400/3000000 | Reward: -5.20 | Epsilon: 0.99 | Deliveries: 0 | Time: 7588.0s
Episode: 11500/3000000 | Reward: -6.04 | Epsilon: 0.99 | Deliveries: 0 | Time: 7650.0s
Episode: 11600/3000000 | Reward: -6.31 | Epsilon: 0.99 | Deliveries: 0 | Time: 7711.7s
Episode: 11700/3000000 | Reward: -20.82 | Epsilon: 0.99 | Deliveries: 1 | Time: 7773.0s
Episode: 11800/3000000 | Reward: -5.82 | Epsilon: 0.99 | Deliveries: 0 | Time: 7833.8s
Episode: 11900/3000000 | Reward: -4.43 | Epsilon: 0.99 | Deliveries: 0 | Time: 7895.6s
Episode: 12000/3000000 | Reward: -5.27 | Epsilon: 0.99 | Deliveries: 0 | Time: 7956.4s
Episode: 12100/3000000 | Reward: -4.93 | Epsilon: 0.99 | Deliveries: 0 | Time: 8022.4s
Episode: 12200/3000000 | Reward: -10.27 | Epsilon: 0.99 | Deliveries: 1 | Time: 8083.4s
Episode: 12300/3000000 | Reward: -5.14 | Epsilon: 0.99 | Deliveries: 0 | Time: 8143.8s
Episode: 12400/3000000 | Reward: -8.15 | Epsilon: 0.99 | Deliveries: 0 | Time: 8205.5s
Episode: 12500/3000000 | Reward: -5.65 | Epsilon: 0.99 | Deliveries: 0 | Time: 8266.8s
Episode: 12600/3000000 | Reward: -5.47 | Epsilon: 0.99 | Deliveries: 0 | Time: 8332.6s
Episode: 12700/3000000 | Reward: -5.91 | Epsilon: 0.99 | Deliveries: 0 | Time: 8399.3s
Episode: 12800/3000000 | Reward: -4.24 | Epsilon: 0.99 | Deliveries: 0 | Time: 8463.6s
Episode: 12900/3000000 | Reward: -4.92 | Epsilon: 0.99 | Deliveries: 0 | Time: 8528.5s
Episode: 13000/3000000 | Reward: -4.94 | Epsilon: 0.99 | Deliveries: 0 | Time: 8592.8s
Episode: 13100/3000000 | Reward: -5.82 | Epsilon: 0.99 | Deliveries: 0 | Time: 8657.5s
Episode: 13200/3000000 | Reward: -5.28 | Epsilon: 0.99 | Deliveries: 0 | Time: 8724.1s
Episode: 13300/3000000 | Reward: -6.44 | Epsilon: 0.99 | Deliveries: 0 | Time: 8787.8s
Episode: 13400/3000000 | Reward: -5.20 | Epsilon: 0.99 | Deliveries: 0 | Time: 8855.8s
Episode: 13500/3000000 | Reward: -4.27 | Epsilon: 0.99 | Deliveries: 0 | Time: 8923.5s
Episode: 13600/3000000 | Reward: -4.35 | Epsilon: 0.99 | Deliveries: 0 | Time: 8988.6s
Episode: 13700/3000000 | Reward: -4.41 | Epsilon: 0.99 | Deliveries: 0 | Time: 9061.9s
Episode: 13800/3000000 | Reward: -7.71 | Epsilon: 0.99 | Deliveries: 0 | Time: 9130.5s
Episode: 13900/3000000 | Reward: -4.89 | Epsilon: 0.99 | Deliveries: 0 | Time: 9194.4s
Episode: 14000/3000000 | Reward: -5.54 | Epsilon: 0.99 | Deliveries: 0 | Time: 9258.3s
Episode: 14100/3000000 | Reward: -4.72 | Epsilon: 0.99 | Deliveries: 0 | Time: 9323.2s
Episode: 14200/3000000 | Reward: -4.05 | Epsilon: 0.99 | Deliveries: 0 | Time: 9386.7s
Episode: 14300/3000000 | Reward: -6.44 | Epsilon: 0.99 | Deliveries: 0 | Time: 9453.2s
Episode: 14400/3000000 | Reward: -4.84 | Epsilon: 0.99 | Deliveries: 0 | Time: 9516.5s
Episode: 14500/3000000 | Reward: -10.89 | Epsilon: 0.99 | Deliveries: 1 | Time: 9580.6s
Episode: 14600/3000000 | Reward: -4.61 | Epsilon: 0.99 | Deliveries: 0 | Time: 9644.3s
Episode: 14700/3000000 | Reward: -4.94 | Epsilon: 0.99 | Deliveries: 0 | Time: 9708.8s
Episode: 14800/3000000 | Reward: -6.18 | Epsilon: 0.99 | Deliveries: 0 | Time: 9773.8s
Episode: 14900/3000000 | Reward: -4.65 | Epsilon: 0.99 | Deliveries: 0 | Time: 9840.8s
Episode: 15000/3000000 | Reward: -4.36 | Epsilon: 0.99 | Deliveries: 0 | Time: 9906.1s
Episode: 15100/3000000 | Reward: -6.76 | Epsilon: 0.99 | Deliveries: 0 | Time: 9969.1s
Episode: 15200/3000000 | Reward: -4.70 | Epsilon: 0.99 | Deliveries: 0 | Time: 10033.4s
Episode: 15300/3000000 | Reward: -4.62 | Epsilon: 0.99 | Deliveries: 0 | Time: 10097.2s
Episode: 15400/3000000 | Reward: -5.53 | Epsilon: 0.99 | Deliveries: 0 | Time: 10164.8s
Episode: 15500/3000000 | Reward: -5.17 | Epsilon: 0.99 | Deliveries: 1 | Time: 10229.7s
Episode: 15600/3000000 | Reward: -4.65 | Epsilon: 0.99 | Deliveries: 0 | Time: 10302.0s
Episode: 15700/3000000 | Reward: -4.76 | Epsilon: 0.99 | Deliveries: 0 | Time: 10373.7s
Episode: 15800/3000000 | Reward: -10.92 | Epsilon: 0.99 | Deliveries: 0 | Time: 10438.1s
Episode: 15900/3000000 | Reward: -5.79 | Epsilon: 0.99 | Deliveries: 0 | Time: 10506.0s
Episode: 16000/3000000 | Reward: -5.61 | Epsilon: 0.99 | Deliveries: 0 | Time: 10570.5s
Episode: 16100/3000000 | Reward: -6.48 | Epsilon: 0.99 | Deliveries: 0 | Time: 10633.9s
Episode: 16200/3000000 | Reward: -4.80 | Epsilon: 0.99 | Deliveries: 0 | Time: 10698.5s
Episode: 16300/3000000 | Reward: -5.04 | Epsilon: 0.99 | Deliveries: 0 | Time: 10761.9s
Episode: 16400/3000000 | Reward: -4.52 | Epsilon: 0.99 | Deliveries: 0 | Time: 10827.3s
Episode: 16500/3000000 | Reward: -4.67 | Epsilon: 0.99 | Deliveries: 0 | Time: 10892.6s
Episode: 16600/3000000 | Reward: -7.77 | Epsilon: 0.99 | Deliveries: 0 | Time: 10956.9s
Episode: 16700/3000000 | Reward: -4.21 | Epsilon: 0.99 | Deliveries: 0 | Time: 11034.4s
Episode: 16800/3000000 | Reward: -5.73 | Epsilon: 0.99 | Deliveries: 0 | Time: 11104.9s
Episode: 16900/3000000 | Reward: -5.75 | Epsilon: 0.99 | Deliveries: 0 | Time: 11170.0s
Episode: 17000/3000000 | Reward: -5.26 | Epsilon: 0.99 | Deliveries: 0 | Time: 11232.8s
Episode: 17100/3000000 | Reward: -4.99 | Epsilon: 0.99 | Deliveries: 0 | Time: 11294.0s
Episode: 17200/3000000 | Reward: -5.09 | Epsilon: 0.99 | Deliveries: 0 | Time: 11356.1s
Episode: 17300/3000000 | Reward: -6.50 | Epsilon: 0.99 | Deliveries: 0 | Time: 11417.7s
Episode: 17400/3000000 | Reward: -4.96 | Epsilon: 0.99 | Deliveries: 0 | Time: 11479.9s
Episode: 17500/3000000 | Reward: -4.48 | Epsilon: 0.99 | Deliveries: 0 | Time: 11542.0s
Episode: 17600/3000000 | Reward: -4.95 | Epsilon: 0.99 | Deliveries: 0 | Time: 11604.0s
Episode: 17700/3000000 | Reward: -7.03 | Epsilon: 0.99 | Deliveries: 0 | Time: 11665.6s
Episode: 17800/3000000 | Reward: -5.21 | Epsilon: 0.99 | Deliveries: 0 | Time: 11727.6s
Episode: 17900/3000000 | Reward: -4.94 | Epsilon: 0.99 | Deliveries: 0 | Time: 11789.8s
Episode: 18000/3000000 | Reward: -5.01 | Epsilon: 0.99 | Deliveries: 0 | Time: 11851.0s
Episode: 18100/3000000 | Reward: -8.81 | Epsilon: 0.99 | Deliveries: 1 | Time: 11913.7s
Episode: 18200/3000000 | Reward: -5.51 | Epsilon: 0.99 | Deliveries: 0 | Time: 11974.6s
Episode: 18300/3000000 | Reward: -6.82 | Epsilon: 0.99 | Deliveries: 0 | Time: 12036.6s
Episode: 18400/3000000 | Reward: -5.08 | Epsilon: 0.99 | Deliveries: 0 | Time: 12099.4s
Episode: 18500/3000000 | Reward: -5.10 | Epsilon: 0.99 | Deliveries: 0 | Time: 12164.0s
Episode: 18600/3000000 | Reward: -9.80 | Epsilon: 0.99 | Deliveries: 0 | Time: 12228.3s
Episode: 18700/3000000 | Reward: -4.29 | Epsilon: 0.99 | Deliveries: 0 | Time: 12295.2s
Episode: 18800/3000000 | Reward: -5.24 | Epsilon: 0.99 | Deliveries: 0 | Time: 12359.2s
Episode: 18900/3000000 | Reward: -3.06 | Epsilon: 0.99 | Deliveries: 1 | Time: 12423.3s
Episode: 19000/3000000 | Reward: -6.17 | Epsilon: 0.99 | Deliveries: 0 | Time: 12487.1s
Episode: 19100/3000000 | Reward: -6.78 | Epsilon: 0.99 | Deliveries: 0 | Time: 12552.2s
Episode: 19200/3000000 | Reward: -6.04 | Epsilon: 0.99 | Deliveries: 0 | Time: 12618.3s
Episode: 19300/3000000 | Reward: -7.81 | Epsilon: 0.99 | Deliveries: 0 | Time: 12683.7s
Episode: 19400/3000000 | Reward: -4.47 | Epsilon: 0.99 | Deliveries: 0 | Time: 12747.1s
Episode: 19500/3000000 | Reward: -9.55 | Epsilon: 0.99 | Deliveries: 0 | Time: 12811.2s
Episode: 19600/3000000 | Reward: -6.48 | Epsilon: 0.99 | Deliveries: 1 | Time: 12874.7s
Episode: 19700/3000000 | Reward: -11.58 | Epsilon: 0.99 | Deliveries: 0 | Time: 12944.2s
Episode: 19800/3000000 | Reward: -6.55 | Epsilon: 0.99 | Deliveries: 0 | Time: 13014.0s
Episode: 19900/3000000 | Reward: -7.56 | Epsilon: 0.99 | Deliveries: 0 | Time: 13078.7s
Episode: 20000/3000000 | Reward: -4.84 | Epsilon: 0.99 | Deliveries: 0 | Time: 13142.5s
Episode: 20100/3000000 | Reward: -3.90 | Epsilon: 0.99 | Deliveries: 1 | Time: 13208.0s
Episode: 20200/3000000 | Reward: -10.78 | Epsilon: 0.99 | Deliveries: 0 | Time: 13278.0s
Episode: 20300/3000000 | Reward: -4.93 | Epsilon: 0.99 | Deliveries: 0 | Time: 13344.3s
Episode: 20400/3000000 | Reward: -4.89 | Epsilon: 0.99 | Deliveries: 0 | Time: 13408.6s
Episode: 20500/3000000 | Reward: -5.01 | Epsilon: 0.99 | Deliveries: 0 | Time: 13472.6s
Episode: 20600/3000000 | Reward: -5.15 | Epsilon: 0.99 | Deliveries: 0 | Time: 13537.3s
Episode: 20700/3000000 | Reward: -7.05 | Epsilon: 0.99 | Deliveries: 0 | Time: 13601.0s
Episode: 20800/3000000 | Reward: -4.20 | Epsilon: 0.99 | Deliveries: 0 | Time: 13665.1s
