Episode,Reward,Deliveries
0,-5.068500000000007,0
1,-11.238500000000023,0
2,-13.141500000000029,0
3,-10.57300000000001,0
4,6.410499999999983,1
5,-34.37000000000004,0
6,-8.727500000000003,0
7,-10.67650000000004,0
8,-6.705999999999994,0
9,-8.141500000000013,0
10,-6.240999999999998,0
11,0.2645,0
12,-4.252500000000005,0
13,1.2890000000000028,0
14,-2.7829999999999986,0
15,-6.2830000000000075,0
16,-1.1424999999999994,0
17,-9.626000000000031,0
18,-7.234499999999999,0
19,-1.7364999999999964,0
20,-8.709000000000009,0
21,9.782999999999955,1
22,0.30649999999999994,0
23,-10.112000000000013,0
24,-0.8249999999999998,0
25,-21.136999999999937,0
26,-4.216000000000003,0
27,-7.691500000000003,0
28,-8.655500000000012,0
29,-12.69350000000002,0
30,-18.61799999999999,0
31,-11.641500000000002,0
32,-1.6579999999999955,0
33,-10.587000000000007,0
34,-8.619000000000018,0
35,-1.756499999999995,0
36,-3.6920000000000037,0
37,-7.141000000000006,0
38,-6.172500000000004,0
39,17.283500000000007,1
40,-12.640000000000036,0
41,-17.55850000000001,0
42,-8.702499999999999,0
43,-6.147000000000006,0
44,-22.08349999999996,0
45,-1.6709999999999952,0
46,-10.145000000000007,0
47,-12.749500000000006,0
48,-7.249999999999999,0
49,-3.678500000000002,0
50,-9.191500000000014,0
51,-3.6845000000000026,0
52,11.302,1
53,-1.3484999999999994,0
54,-18.031000000000013,0
55,-13.126500000000044,0
56,-12.18550000000005,0
57,-5.242000000000005,0
58,-5.186500000000004,0
59,-11.251500000000004,0
60,-14.599500000000019,0
61,-14.560000000000047,0
62,-5.169000000000005,0
63,-20.570499999999974,0
64,-6.834999999999994,0
65,-6.1540000000000035,0
66,-16.122500000000013,0
67,-1.7849999999999953,0
68,-10.176000000000018,0
69,-5.685000000000004,0
70,-8.493000000000038,0
71,-10.623500000000003,0
72,-31.01799999999996,0
73,-20.156500000000012,0
74,-7.109500000000003,0
75,-9.588500000000035,0
76,-3.235999999999998,0
77,16.837999999999997,1
78,-23.06099999999995,0
79,-10.775500000000015,0
80,-5.161000000000005,0
81,-15.589000000000036,0
82,-20.028999999999986,0
83,16.726000000000035,1
84,-8.238000000000005,0
85,-6.230499999999998,0
86,-2.7940000000000036,0
87,-17.02100000000002,0
88,-28.55049999999995,0
89,-7.680499999999996,0
90,-11.727500000000012,0
91,16.197500000000044,1
92,-5.144000000000006,0
93,-2.2550000000000043,0
94,-10.143000000000004,0
95,12.314499999999988,1
96,-6.5720000000000045,0
97,-7.587000000000004,0
98,-7.791000000000003,0
99,-8.750000000000028,0
100,-14.619500000000023,0
101,14.856500000000054,1
102,-2.8215000000000043,0
103,-15.572500000000042,0
104,-6.655500000000001,0
105,-9.768,0
106,-7.691000000000002,0
107,-24.60749999999998,0
108,-4.307,0
109,-1.7599999999999991,0
110,-3.593500000000004,0
111,-1.1614999999999955,0
112,-1.2004999999999961,0
113,-3.6895000000000024,0
114,-8.194500000000032,0
115,14.431499999999987,1
116,-3.228000000000004,0
117,-10.687500000000023,0
118,-24.499499999999912,0
119,-7.174000000000001,0
120,-10.611000000000017,0
121,-13.251000000000024,0
122,-11.080500000000043,0
123,-6.117000000000005,0
124,-1.2424999999999962,0
125,-13.14050000000002,0
126,-3.820999999999998,0
127,-9.225500000000027,0
128,-12.606500000000034,0
129,-15.61100000000003,0
130,-19.076499999999953,0
131,-0.7974999999999999,0
132,-9.688000000000013,0
133,-12.035500000000035,0
134,-7.767499999999995,0
135,-4.107000000000006,0
136,-2.2440000000000038,0
137,-3.2510000000000057,0
138,-5.175500000000004,0
139,-9.66000000000001,0
140,-6.717499999999997,0
141,-5.727000000000002,0
142,-2.8625000000000065,0
143,-0.6769999999999996,0
144,-5.156500000000006,0
145,-1.2494999999999985,0
146,-0.7424999999999998,0
147,-12.629500000000013,0
148,-1.7904999999999955,0
149,-0.18649999999999956,0
150,-9.569000000000006,0
151,-7.1739999999999995,0
152,-11.530000000000031,0
153,-12.042500000000029,0
154,-2.5870000000000046,0
155,-5.241000000000004,0
156,-0.6889999999999998,0
157,-17.06950000000002,0
158,-8.657000000000002,0
159,-7.601500000000006,0
160,-24.067499999999942,0
161,-8.220500000000008,0
162,-1.1299999999999943,0
163,11.426999999999964,1
164,-13.200000000000056,0
165,-10.596500000000015,0
166,-9.162500000000023,0
167,-19.626499999999968,0
168,-10.17100000000005,0
169,-12.096000000000009,0
170,-1.1439999999999937,0
171,-10.592000000000027,0
172,1.2675000000000043,0
173,-8.169500000000001,0
174,-7.144999999999997,0
175,-17.154000000000018,0
176,-8.216000000000005,0
177,-4.719000000000001,0
178,-2.246999999999999,0
179,-13.537000000000043,0
180,-14.15250000000005,0
181,-17.16950000000003,0
182,-4.711500000000002,0
183,-8.205500000000026,0
184,-11.71100000000004,0
185,-17.032999999999927,0
186,13.282500000000045,1
187,-1.1039999999999948,0
188,-3.1900000000000044,0
189,-4.237000000000003,0
190,-29.009999999999938,0
191,-1.2504999999999942,0
192,-3.204500000000001,0
193,-4.220499999999996,0
194,-15.138000000000025,0
195,-6.731500000000004,0
196,-9.231499999999997,0
197,-24.585499999999975,0
198,-29.55649999999992,0
199,-7.213000000000006,0
200,-3.7444999999999995,0
201,-9.997500000000015,0
202,-12.118500000000035,0
203,1.268000000000006,0
204,-4.592000000000007,0
205,-16.59500000000002,0
206,-5.133000000000003,0
207,-8.072000000000026,0
208,-9.18400000000004,0
209,-4.783499999999993,0
210,-13.183500000000038,0
211,-3.114500000000006,0
212,-5.190499999999998,0
213,-8.598000000000043,0
214,-12.148500000000038,0
215,-8.634000000000034,0
216,-15.522500000000013,0
217,-14.134000000000018,0
218,-4.115000000000004,0
219,18.222000000000058,1
220,-1.636,0
221,-9.261000000000024,0
222,-1.2264999999999961,0
223,-4.626500000000008,0
224,-21.53449999999995,0
225,-3.8089999999999997,0
226,-3.7765000000000013,0
227,-9.755500000000024,0
228,-19.54650000000001,0
229,-6.117500000000005,0
230,-5.15,0
231,-3.2855000000000056,0
232,-7.574499999999997,0
233,-3.200000000000003,0
234,16.805000000000014,1
235,-0.5619999999999996,0
236,-4.258000000000001,0
237,-4.692000000000002,0
238,-11.761500000000007,0
239,-7.765000000000006,0
240,-24.630499999999948,0
241,-2.687000000000004,0
242,-1.7494999999999965,0
243,-3.123500000000006,0
244,-1.0594999999999937,0
245,-13.179500000000033,0
246,-0.1639999999999997,0
247,-10.192000000000014,0
248,-10.107000000000042,0
249,-4.124500000000003,0
250,-6.6240000000000006,0
251,-14.091500000000014,0
252,-13.61400000000001,0
253,-4.73750000000001,0
254,-10.08600000000003,0
255,-6.174500000000002,0
256,-3.5980000000000008,0
257,-9.687500000000018,0
258,-1.1974999999999965,0
259,-14.703000000000012,0
260,-7.529000000000011,0
261,-1.2604999999999964,0
262,-7.747499999999995,0
263,-7.648500000000003,0
264,-10.260999999999992,0
265,18.373000000000076,1
266,-9.145000000000024,0
267,-18.553499999999925,0
268,-11.097000000000033,0
269,12.844499999999977,1
270,-9.710999999999999,0
271,-15.076500000000015,0
272,-5.217999999999996,0
273,12.90049999999997,1
274,-22.077499999999958,0
275,3.4394999999999927,1
276,-5.242500000000002,0
277,-4.7514999999999965,0
278,-9.710999999999997,0
279,-4.180000000000004,0
280,-4.674500000000003,0
281,-9.262000000000027,0
282,-4.201500000000005,0
283,-13.03450000000002,0
284,-2.8615,0
285,-10.635000000000025,0
286,-15.008500000000044,0
287,1.2445000000000046,0
288,-8.658000000000001,0
289,-2.3065,0
290,-8.539500000000038,0
291,0.2735,0
292,-10.748500000000034,0
293,-4.162500000000006,0
294,-9.68350000000001,0
295,-5.579000000000006,0
296,-10.157500000000024,0
297,-6.7245000000000035,0
298,-15.006500000000042,0
299,-14.612500000000031,0
300,-2.6165000000000047,0
301,-7.219000000000004,0
302,-2.198000000000004,0
303,-2.253000000000004,0
304,-12.247500000000015,0
305,-4.826999999999996,0
306,-16.593500000000027,0
307,-20.0965,0
308,-2.1125000000000056,0
309,-6.244499999999999,0
310,-8.135000000000034,0
311,-6.70649999999999,0
312,-20.573999999999977,0
313,-10.129499999999998,0
314,-18.494999999999937,0
315,-14.624000000000015,0
316,-11.666500000000024,0
317,-4.725999999999992,0
318,8.309499999999948,1
319,-3.1174999999999997,0
320,-6.6620000000000035,0
321,-2.7915000000000045,0
322,-19.10099999999999,0
323,-5.271500000000003,0
324,-6.252499999999996,0
325,-3.2555000000000036,0
326,-10.691000000000018,0
327,-0.6424999999999995,0
328,-6.7180000000000035,0
329,-1.6969999999999983,0
330,-11.630500000000017,0
331,-22.988999999999976,0
332,-2.7505000000000024,0
333,-15.64900000000002,0
334,-8.626500000000007,0
335,-1.7034999999999962,0
336,-9.683000000000032,0
