episode,n_steps,duration_s,team_total_reward,team_reward_per_step,agent_0_total,agent_1_total,agent_2_total,agent_3_total
992,500,0.0,10.5,0.021,2.5,1.0,5.5,1.5
993,500,0.0,12.5,0.025,3.5,2.5,3.5,3.0
994,500,0.0,11.5,0.023,3.0,2.0,3.5,3.0
995,500,0.0,7.0,0.014,1.5,1.0,2.5,2.0
996,500,0.0,7.0,0.014,3.0,2.0,1.5,0.5
997,500,0.0,10.0,0.02,2.0,0.5,5.5,2.0
998,500,0.0,13.5,0.027,3.0,6.5,3.0,1.0
999,500,0.0,15.5,0.031,3.0,4.5,7.5,0.5
1000,500,0.0,18.5,0.037,3.5,4.0,5.5,5.5
1001,500,0.0,10.0,0.02,2.5,3.0,4.0,0.5
1002,500,0.0,5.5,0.011,3.5,0.5,1.0,0.5
1003,500,0.0,10.5,0.021,1.5,2.0,4.0,3.0
1004,500,0.0,8.0,0.016,2.5,1.0,3.0,1.5
1005,500,0.0,4.5,0.009,0.5,0.5,0.5,3.0
1006,500,0.0,12.0,0.024,4.0,4.5,0.5,3.0
1007,500,0.0,12.5,0.025,5.5,2.5,2.0,2.5
1008,500,0.0,11.5,0.023,3.5,2.0,4.0,2.0
1009,500,0.0,9.0,0.018,4.0,2.5,0.5,2.0
1010,500,0.0,10.5,0.021,2.5,3.5,2.0,2.5
1011,500,0.0,15.5,0.031,4.0,4.5,3.0,4.0
1012,500,0.0,11.0,0.022,0.5,3.0,1.0,6.5
1013,500,0.0,4.5,0.009,0.5,2.0,1.0,1.0
1014,500,0.0,7.0,0.014,1.0,1.0,2.0,3.0
1015,500,0.0,15.0,0.03,5.5,4.0,2.5,3.0
1016,500,0.0,7.5,0.015,1.0,2.0,3.5,1.0
1017,500,0.0,7.0,0.014,1.5,0.5,3.5,1.5
1018,500,0.0,11.5,0.023,1.0,6.0,3.5,1.0
1019,500,0.0,7.5,0.015,2.5,1.0,1.5,2.5
1020,500,0.0,7.0,0.014,1.5,1.5,1.0,3.0
1021,500,0.0,7.0,0.014,1.0,3.0,2.5,0.5
1022,500,0.0,10.0,0.02,2.5,2.0,1.5,4.0
1023,500,0.0,11.0,0.022,1.0,6.0,1.5,2.5
1024,500,0.0,10.0,0.02,2.5,4.0,2.5,1.0
1025,500,0.0,12.0,0.024,4.0,4.0,3.0,1.0
1026,500,0.0,9.5,0.019,1.5,4.5,0.5,3.0
1027,500,0.0,9.5,0.019,3.0,1.5,2.0,3.0
1028,500,0.0,16.0,0.032,1.0,1.0,8.0,6.0
1029,500,0.0,8.0,0.016,2.5,0.5,3.0,2.0
1030,500,0.0,8.0,0.016,0.5,3.0,2.0,2.5
1031,500,0.0,6.5,0.013,1.5,0.5,3.5,1.0
1032,500,0.0,13.0,0.026,3.5,0.5,7.0,2.0
1033,500,0.0,11.0,0.022,3.5,1.5,3.5,2.5
1034,500,0.0,6.5,0.013,1.0,3.0,1.0,1.5
1035,500,0.0,10.0,0.02,3.5,1.5,1.5,3.5
1036,500,0.0,12.5,0.025,1.0,6.0,2.0,3.5
1037,500,0.0,5.0,0.01,0.5,1.5,0.5,2.5
1038,500,0.0,11.0,0.022,5.5,2.0,3.0,0.5
1039,500,0.0,10.5,0.021,3.0,5.0,1.5,1.0
1040,500,0.0,10.0,0.02,1.0,3.5,3.5,2.0
