episode,n_steps,duration_s,team_total_reward,team_reward_per_step,agent_0_total,agent_1_total,agent_2_total,agent_3_total
308,500,0.0,-8.215,-0.01643,-0.81,-2.53,-1.25,-3.625
309,500,0.0,-1.455,-0.00291,-2.345,-0.68,2.245,-0.675
310,500,0.0,-3.865,-0.00773,-0.72,-0.73,-0.69,-1.725
311,500,0.0,-7.475,-0.01495,-1.105,-0.765,-0.64,-4.965
312,500,0.0,-2.835,-0.00567,-0.585,-0.76,-0.74,-0.75
313,500,0.0,-3.035,-0.00607,-0.945,-0.67,-0.67,-0.75
314,500,0.0,-4.07,-0.00814,-0.785,-0.805,-1.25,-1.23
315,500,0.0,-4.775,-0.00955,-1.555,-0.755,-1.725,-0.74
316,500,0.0,-4.32,-0.00864,-1.04,-1.345,-0.645,-1.29
317,500,0.0,-1.01,-0.00202,-0.7,-0.75,1.24,-0.8
318,500,0.0,-9.74,-0.01948,-0.75,-0.63,-3.9,-4.46
319,500,0.0,-5.365,-0.01073,-0.81,-2.235,-0.805,-1.515
320,500,0.0,-15.94,-0.03188,-6.44,-6.55,-0.785,-2.165
321,500,0.0,-3.265,-0.00653,-0.875,-0.715,-0.875,-0.8
322,500,0.0,-13.635,-0.02727,-1.76,-3.855,-6.995,-1.025
323,500,0.0,-0.395,-0.00079,-0.69,1.495,-0.66,-0.54
324,500,0.0,-5.665,-0.01133,-2.285,-1.375,-1.25,-0.755
325,500,0.0,-10.105,-0.02021,-6.055,-1.24,-0.615,-2.195
326,500,0.0,-2.795,-0.00559,-0.645,-0.675,-0.72,-0.755
327,500,0.0,-5.17,-0.01034,-1.805,-1.045,-1.33,-0.99
328,500,0.0,-2.945,-0.00589,-0.705,-0.72,-0.65,-0.87
329,500,0.0,-3.54,-0.00708,-0.78,-1.165,-0.95,-0.645
330,500,0.0,-10.925,-0.02185,-2.14,-1.96,-1.09,-5.735
331,500,0.0,-2.71,-0.00542,-0.695,-0.77,-0.645,-0.6
332,500,0.0,-2.795,-0.00559,-0.765,-0.655,-0.69,-0.685
333,500,0.0,-3.09,-0.00618,-0.655,-0.63,-0.545,-1.26
334,500,0.0,0.33,0.00066,-0.57,2.175,-0.68,-0.595
335,500,0.0,-3.57,-0.00714,-0.88,-0.65,-1.21,-0.83
336,500,0.0,-11.47,-0.02294,-2.72,-2.045,-5.195,-1.51
337,500,0.0,-4.845,-0.00969,-0.73,-0.715,-0.68,-2.72
338,500,0.0,-3.295,-0.00659,-0.735,-0.66,-1.0,-0.9
339,500,0.0,-2.895,-0.00579,-0.685,-0.845,-0.745,-0.62
340,500,0.0,-6.225,-0.01245,-2.765,-0.595,-2.155,-0.71
341,500,0.0,-7.04,-0.01408,-1.12,-2.955,-0.905,-2.06
342,500,0.0,-3.435,-0.00687,-0.79,-0.85,-0.6,-1.195
343,500,0.0,-3.8,-0.0076,-0.795,-0.695,-0.92,-1.39
344,500,0.0,-2.585,-0.00517,-0.685,-0.645,-0.64,-0.615
345,500,0.0,-3.255,-0.00651,-0.735,-0.885,-0.845,-0.79
346,500,0.0,-2.79,-0.00558,-0.685,-0.73,-0.735,-0.64
347,500,0.0,-4.69,-0.00938,-1.315,-1.4,-0.835,-1.14
348,500,0.0,-4.095,-0.00819,-0.66,-1.36,-1.44,-0.635
349,500,0.0,-3.99,-0.00798,-0.765,-0.795,-1.8,-0.63
350,500,0.0,-4.645,-0.00929,-1.28,-1.64,-0.755,-0.97
351,500,0.0,-10.67,-0.02134,-0.62,-2.155,-2.24,-5.655
352,500,0.0,-5.795,-0.01159,-3.435,-0.75,-0.825,-0.785
353,500,0.0,-3.035,-0.00607,-1.015,-0.735,-0.69,-0.595
354,500,0.0,-3.75,-0.0075,-0.805,-0.62,-0.585,-1.74
