Episode,Reward,Deliveries
0,-39.9999999999995,0
1,-39.9999999999995,0
2,-39.9999999999995,0
3,-39.9999999999995,0
4,-39.9999999999995,0
5,-39.9999999999995,0
6,-39.9999999999995,0
7,-39.9999999999995,0
8,-39.9999999999995,0
9,-39.9999999999995,0
10,-39.9999999999995,0
11,-39.9999999999995,0
12,-39.9999999999995,0
13,-39.9999999999995,0
14,-39.9999999999995,0
15,-39.9999999999995,0
16,-39.9999999999995,0
17,-39.9999999999995,0
18,-39.9999999999995,0
19,-39.9999999999995,0
20,-39.9999999999995,0
21,-39.9999999999995,0
22,-39.9999999999995,0
23,-39.9999999999995,0
24,-39.9999999999995,0
25,-39.9999999999995,0
26,-39.9999999999995,0
27,-39.9999999999995,0
28,-39.9999999999995,0
29,-39.9999999999995,0
30,-39.9999999999995,0
31,-39.9999999999995,0
32,-39.9999999999995,0
33,-39.9999999999995,0
34,-39.9999999999995,0
35,-39.9999999999995,0
36,-39.9999999999995,0
37,-39.9999999999995,0
38,-39.9999999999995,0
39,-39.9999999999995,0
40,-39.9999999999995,0
41,-39.9999999999995,0
42,-39.9999999999995,0
43,-39.9999999999995,0
44,-39.9999999999995,0
45,-39.9999999999995,0
46,-39.9999999999995,0
47,-39.9999999999995,0
48,-39.9999999999995,0
49,-39.9999999999995,0
50,-39.9999999999995,0
51,-39.9999999999995,0
52,-39.9999999999995,0
53,-39.9999999999995,0
54,-39.9999999999995,0
55,-39.9999999999995,0
56,-39.9999999999995,0
57,-39.9999999999995,0
58,-39.9999999999995,0
59,-39.9999999999995,0
60,-39.9999999999995,0
61,-39.9999999999995,0
62,-39.9999999999995,0
63,-39.9999999999995,0
64,-39.9999999999995,0
65,-39.9999999999995,0
66,-39.9999999999995,0
67,-39.9999999999995,0
68,-39.9999999999995,0
69,-39.9999999999995,0
70,-39.9999999999995,0
71,-39.9999999999995,0
72,-39.9999999999995,0
73,-39.9999999999995,0
74,-39.9999999999995,0
75,-39.9999999999995,0
76,-39.9999999999995,0
77,-39.9999999999995,0
78,-39.9999999999995,0
79,-39.9999999999995,0
80,-39.9999999999995,0
81,-39.9999999999995,0
82,-39.9999999999995,0
83,-39.9999999999995,0
84,-39.9999999999995,0
85,-39.9999999999995,0
86,-39.9999999999995,0
87,-39.9999999999995,0
88,-39.9999999999995,0
89,-39.9999999999995,0
90,-39.9999999999995,0
91,-39.9999999999995,0
92,-39.9999999999995,0
93,-39.9999999999995,0
94,-39.9999999999995,0
95,-39.9999999999995,0
96,-39.9999999999995,0
97,-39.9999999999995,0
98,-39.9999999999995,0
99,-39.9999999999995,0
100,-39.9999999999995,0
101,-39.9999999999995,0
102,-39.9999999999995,0
103,-39.9999999999995,0
104,-39.9999999999995,0
105,-39.9999999999995,0
106,-39.9999999999995,0
107,-39.9999999999995,0
108,-39.9999999999995,0
109,-39.9999999999995,0
110,-39.9999999999995,0
111,-39.9999999999995,0
112,-39.9999999999995,0
113,-39.9999999999995,0
114,-39.9999999999995,0
115,-39.9999999999995,0
116,-39.9999999999995,0
117,-39.9999999999995,0
118,-39.9999999999995,0
119,-39.9999999999995,0
120,-39.9999999999995,0
121,-39.9999999999995,0
122,-39.9999999999995,0
123,-39.9999999999995,0
124,-39.9999999999995,0
125,-39.9999999999995,0
126,-39.9999999999995,0
127,-39.9999999999995,0
128,-39.9999999999995,0
129,-39.9999999999995,0
130,-39.9999999999995,0
131,-39.9999999999995,0
132,-39.9999999999995,0
133,-39.9999999999995,0
134,-39.9999999999995,0
135,-39.9999999999995,0
136,-39.9999999999995,0
137,-39.9999999999995,0
138,-39.9999999999995,0
139,-39.9999999999995,0
140,-39.9999999999995,0
141,-39.9999999999995,0
142,-39.9999999999995,0
143,-39.9999999999995,0
144,-39.9999999999995,0
145,-39.9999999999995,0
146,-39.9999999999995,0
147,-39.9999999999995,0
148,-39.9999999999995,0
149,-39.9999999999995,0
150,-39.9999999999995,0
151,-39.9999999999995,0
152,-39.9999999999995,0
153,-39.9999999999995,0
154,-39.9999999999995,0
155,-39.9999999999995,0
156,-39.9999999999995,0
157,-39.9999999999995,0
158,-39.9999999999995,0
159,-39.9999999999995,0
160,-39.9999999999995,0
161,-39.9999999999995,0
162,-39.9999999999995,0
163,-39.9999999999995,0
164,-39.9999999999995,0
165,-39.9999999999995,0
166,-39.9999999999995,0
167,-39.9999999999995,0
168,-39.9999999999995,0
169,-39.9999999999995,0
170,-39.9999999999995,0
171,-39.9999999999995,0
172,-39.9999999999995,0
173,-39.9999999999995,0
174,-39.9999999999995,0
175,-39.9999999999995,0
176,-39.9999999999995,0
177,-39.9999999999995,0
178,-39.9999999999995,0
179,-39.9999999999995,0
180,-39.9999999999995,0
181,-39.9999999999995,0
182,-39.9999999999995,0
183,-39.9999999999995,0
184,-39.9999999999995,0
185,-39.9999999999995,0
186,-39.9999999999995,0
187,-39.9999999999995,0
188,-39.9999999999995,0
189,-39.9999999999995,0
190,-39.9999999999995,0
191,-39.9999999999995,0
192,-39.9999999999995,0
193,-39.9999999999995,0
194,-39.9999999999995,0
195,-39.9999999999995,0
196,-39.9999999999995,0
197,-39.9999999999995,0
198,-39.9999999999995,0
199,-39.9999999999995,0
200,-39.9999999999995,0
201,-39.9999999999995,0
202,-39.9999999999995,0
203,-39.9999999999995,0
204,-39.9999999999995,0
205,-39.9999999999995,0
206,-39.9999999999995,0
207,-39.9999999999995,0
208,-39.9999999999995,0
209,-39.9999999999995,0
210,-39.9999999999995,0
211,-39.9999999999995,0
212,-39.9999999999995,0
213,-39.9999999999995,0
214,-39.9999999999995,0
215,-39.9999999999995,0
216,-39.9999999999995,0
217,-39.9999999999995,0
218,-39.9999999999995,0
219,-39.9999999999995,0
220,-39.9999999999995,0
221,-39.9999999999995,0
222,-39.9999999999995,0
223,-39.9999999999995,0
224,-39.9999999999995,0
225,-39.9999999999995,0
226,-39.9999999999995,0
227,-39.9999999999995,0
228,-39.9999999999995,0
229,-39.9999999999995,0
230,-39.9999999999995,0
231,-39.9999999999995,0
232,-39.9999999999995,0
233,-39.9999999999995,0
234,-39.9999999999995,0
235,-39.9999999999995,0
236,-39.9999999999995,0
237,-39.9999999999995,0
238,-39.9999999999995,0
239,-39.9999999999995,0
240,-39.9999999999995,0
241,-39.9999999999995,0
242,-39.9999999999995,0
243,-39.9999999999995,0
244,-39.9999999999995,0
245,-39.9999999999995,0
246,-39.9999999999995,0
247,-39.9999999999995,0
248,-39.9999999999995,0
249,-39.9999999999995,0
250,-39.9999999999995,0
251,-39.9999999999995,0
252,-39.9999999999995,0
253,-39.9999999999995,0
254,-39.9999999999995,0
255,-39.9999999999995,0
256,-39.9999999999995,0
257,-39.9999999999995,0
258,-39.9999999999995,0
259,-39.9999999999995,0
260,-39.9999999999995,0
261,-39.9999999999995,0
262,-39.9999999999995,0
263,-39.9999999999995,0
264,-39.9999999999995,0
265,-39.9999999999995,0
266,-39.9999999999995,0
267,-39.9999999999995,0
268,-39.9999999999995,0
269,-39.9999999999995,0
270,-39.9999999999995,0
271,-39.9999999999995,0
272,-39.9999999999995,0
273,-39.9999999999995,0
274,-39.9999999999995,0
275,-39.9999999999995,0
276,-39.9999999999995,0
277,-39.9999999999995,0
278,-39.9999999999995,0
279,-39.9999999999995,0
280,-39.9999999999995,0
281,-39.9999999999995,0
282,-39.9999999999995,0
283,-39.9999999999995,0
284,-39.9999999999995,0
285,-39.9999999999995,0
286,-39.9999999999995,0
287,-39.9999999999995,0
288,-39.9999999999995,0
289,-39.9999999999995,0
290,-39.9999999999995,0
291,-39.9999999999995,0
292,-39.9999999999995,0
293,-39.9999999999995,0
294,-39.9999999999995,0
295,-39.9999999999995,0
296,-39.9999999999995,0
297,-39.9999999999995,0
298,-39.9999999999995,0
299,-39.9999999999995,0
