episode,n_steps,duration_s,team_total_reward,team_reward_per_step,agent_0_total,agent_1_total
270,500,0.0,0.04,8e-05,-1.475,1.515
271,500,0.0,0.43,0.00086,-0.275,0.705
272,500,0.0,0.925,0.00185,0.375,0.55
273,500,0.0,2.025,0.00405,0.615,1.41
274,500,0.0,-4.16,-0.00832,-3.475,-0.685
275,500,0.0,3.01,0.00602,1.73,1.28
276,500,0.0,-1.225,-0.00245,-1.225,-0.0
277,500,0.0,-1.63,-0.00326,-1.78,0.15
278,500,0.0,1.045,0.00209,0.67,0.375
279,500,0.0,4.06,0.00812,-0.645,4.705
280,500,0.0,1.495,0.00299,0.175,1.32
281,500,0.0,-0.32,-0.00064,-0.545,0.225
282,500,0.0,1.92,0.00384,0.885,1.035
283,500,0.0,1.31,0.00262,0.69,0.62
284,500,0.0,-0.81,-0.00162,-1.46,0.65
285,500,0.0,0.35,0.0007,0.045,0.305
286,500,0.0,1.505,0.00301,0.5,1.005
287,500,0.0,0.62,0.00124,-0.625,1.245
288,500,0.0,1.38,0.00276,0.575,0.805
289,500,0.0,-1.745,-0.00349,-1.825,0.08
290,500,0.0,0.21,0.00042,-0.1,0.31
291,500,0.0,-0.04,-8e-05,-0.795,0.755
292,500,0.0,-1.275,-0.00255,-0.475,-0.8
293,500,0.0,1.475,0.00295,0.575,0.9
294,500,0.0,0.425,0.00085,-0.025,0.45
295,500,0.0,-0.015,-3e-05,0.625,-0.64
296,500,0.0,0.38,0.00076,-0.585,0.965
297,500,0.0,1.77,0.00354,1.035,0.735
298,500,0.0,0.105,0.00021,-0.42,0.525
299,500,0.0,0.65,0.0013,1.325,-0.675
300,500,0.0,-0.13,-0.00026,-0.745,0.615
301,500,0.0,1.025,0.00205,0.875,0.15
302,500,0.0,0.47,0.00094,0.775,-0.305
303,500,0.0,-0.85,-0.0017,0.25,-1.1
304,500,0.0,0.785,0.00157,0.24,0.545
305,500,0.0,1.27,0.00254,0.525,0.745
306,500,0.0,-0.76,-0.00152,-0.575,-0.185
307,500,0.0,0.855,0.00171,0.055,0.8
308,500,0.0,0.675,0.00135,0.575,0.1
309,500,0.0,2.395,0.00479,1.17,1.225
310,500,0.0,1.615,0.00323,0.925,0.69
311,500,0.0,-1.62,-0.00324,0.395,-2.015
312,500,0.0,1.385,0.00277,0.325,1.06
313,500,0.0,1.575,0.00315,0.125,1.45
314,500,0.0,0.6,0.0012,0.4,0.2
315,500,0.0,0.6,0.0012,0.725,-0.125
316,500,0.0,2.44,0.00488,1.905,0.535
317,500,0.0,1.83,0.00366,0.455,1.375
318,500,0.0,3.475,0.00695,4.78,-1.305
319,500,0.0,-1.46,-0.00292,-0.265,-1.195
320,500,0.0,1.7,0.0034,0.57,1.13
321,500,0.0,1.48,0.00296,0.905,0.575
322,500,0.0,1.355,0.00271,0.475,0.88
323,500,0.0,1.835,0.00367,0.785,1.05
324,500,0.0,1.875,0.00375,0.65,1.225
325,500,0.0,-2.15,-0.0043,0.775,-2.925
326,500,0.0,-3.07,-0.00614,0.13,-3.2
327,500,0.0,0.85,0.0017,1.225,-0.375
328,500,0.0,-1.7,-0.0034,-0.225,-1.475
329,500,0.0,-0.645,-0.00129,-0.345,-0.3
330,500,0.0,0.4,0.0008,0.425,-0.025
331,500,0.0,-0.105,-0.00021,-0.035,-0.07
332,500,0.0,-1.005,-0.00201,-0.7,-0.305
333,500,0.0,1.665,0.00333,1.025,0.64
334,500,0.0,0.31,0.00062,1.06,-0.75
335,500,0.0,0.375,0.00075,0.735,-0.36
336,500,0.0,1.165,0.00233,0.95,0.215
337,500,0.0,1.315,0.00263,0.75,0.565
338,500,0.0,0.375,0.00075,0.775,-0.4
339,500,0.0,-1.64,-0.00328,0.7,-2.34
340,500,0.0,1.15,0.0023,0.7,0.45
341,500,0.0,-0.06,-0.00012,0.805,-0.865
342,500,0.0,0.85,0.0017,0.3,0.55
343,500,0.0,0.585,0.00117,0.11,0.475
344,500,0.0,1.235,0.00247,0.11,1.125
345,500,0.0,1.5,0.003,1.025,0.475
346,500,0.0,1.44,0.00288,0.895,0.545
347,500,0.0,-2.015,-0.00403,0.725,-2.74
348,500,0.0,1.825,0.00365,0.7,1.125
349,500,0.0,1.05,0.0021,-0.15,1.2
350,500,0.0,1.035,0.00207,0.76,0.275
351,500,0.0,1.095,0.00219,0.87,0.225
352,500,0.0,3.15,0.0063,-1.745,4.895
353,500,0.0,1.75,0.0035,1.255,0.495
354,500,0.0,1.195,0.00239,0.925,0.27
355,500,0.0,1.91,0.00382,1.06,0.85
356,500,0.0,0.45,0.0009,0.825,-0.375
357,500,0.0,0.395,0.00079,0.57,-0.175
358,500,0.0,1.775,0.00355,0.9,0.875
359,500,0.0,1.725,0.00345,1.07,0.655
360,500,0.0,0.835,0.00167,0.57,0.265
361,500,0.0,1.515,0.00303,0.895,0.62
362,500,0.0,0.82,0.00164,1.275,-0.455
363,500,0.0,4.89,0.00978,3.415,1.475
364,500,0.0,0.115,0.00023,0.54,-0.425
365,500,0.0,1.085,0.00217,0.105,0.98
366,500,0.0,-3.545,-0.00709,-4.97,1.425
367,500,0.0,1.845,0.00369,0.445,1.4
368,500,0.0,1.73,0.00346,0.815,0.915
369,500,0.0,1.22,0.00244,0.125,1.095
370,500,0.0,0.44,0.00088,0.485,-0.045
371,500,0.0,1.37,0.00274,-0.24,1.61
372,500,0.0,0.38,0.00076,0.5,-0.12
373,500,0.0,1.49,0.00298,-0.185,1.675
374,500,0.0,2.665,0.00533,1.2,1.465
375,500,0.0,0.38,0.00076,-0.65,1.03
376,500,0.0,2.07,0.00414,0.84,1.23
377,500,0.0,2.13,0.00426,0.78,1.35
378,500,0.0,2.33,0.00466,0.975,1.355
379,500,0.0,5.015,0.01003,0.2,4.815
380,500,0.0,1.21,0.00242,0.33,0.88
381,500,0.0,6.545,0.01309,1.27,5.275
382,500,0.0,1.675,0.00335,0.225,1.45
383,500,0.0,2.89,0.00578,1.305,1.585
384,500,0.0,1.46,0.00292,0.235,1.225
385,500,0.0,2.165,0.00433,1.085,1.08
386,500,0.0,2.2,0.0044,0.725,1.475
387,500,0.0,4.79,0.00958,3.34,1.45
388,500,0.0,2.095,0.00419,0.885,1.21
389,500,0.0,1.02,0.00204,0.3,0.72
390,500,0.0,-1.42,-0.00284,-2.24,0.82
391,500,0.0,1.605,0.00321,0.425,1.18
392,500,0.0,4.225,0.00845,0.73,3.495
393,500,0.0,1.68,0.00336,1.075,0.605
394,500,0.0,1.085,0.00217,0.865,0.22
395,500,0.0,0.7,0.0014,0.55,0.15
396,500,0.0,1.61,0.00322,1.075,0.535
397,500,0.0,1.195,0.00239,0.9,0.295
398,500,0.0,-0.6,-0.0012,-2.525,1.925
399,500,0.0,0.315,0.00063,-0.17,0.485
400,500,0.0,2.455,0.00491,1.425,1.03
401,500,0.0,2.5,0.005,0.95,1.55
402,500,0.0,1.145,0.00229,0.775,0.37
403,500,0.0,2.79,0.00558,1.5,1.29
404,500,0.0,0.81,0.00162,0.15,0.66
405,500,0.0,1.31,0.00262,0.59,0.72
406,500,0.0,1.02,0.00204,-0.25,1.27
407,500,0.0,1.775,0.00355,0.95,0.825
408,500,0.0,-0.3,-0.0006,-0.245,-0.055
409,500,0.0,1.14,0.00228,0.815,0.325
410,500,0.0,2.6,0.0052,0.765,1.835
411,500,0.0,1.49,0.00298,0.66,0.83
412,500,0.0,1.41,0.00282,1.075,0.335
413,500,0.0,1.755,0.00351,1.08,0.675
414,500,0.0,2.5,0.005,1.35,1.15
415,500,0.0,1.69,0.00338,0.605,1.085
416,500,0.0,1.5,0.003,1.13,0.37
417,500,0.0,2.975,0.00595,1.35,1.625
418,500,0.0,1.505,0.00301,0.3,1.205
419,500,0.0,3.43,0.00686,1.47,1.96
420,500,0.0,2.215,0.00443,0.97,1.245
421,500,0.0,1.755,0.00351,0.785,0.97
422,500,0.0,1.26,0.00252,-0.335,1.595
423,500,0.0,1.955,0.00391,0.99,0.965
424,500,0.0,1.835,0.00367,0.315,1.52
425,500,0.0,2.8,0.0056,0.925,1.875
426,500,0.0,-0.555,-0.00111,-0.475,-0.08
427,500,0.0,3.7,0.0074,1.025,2.675
428,500,0.0,1.285,0.00257,0.36,0.925
429,500,0.0,0.25,0.0005,-0.6,0.85
430,500,0.0,2.31,0.00462,1.075,1.235
431,500,0.0,7.04,0.01408,1.485,5.555
432,500,0.0,2.025,0.00405,0.75,1.275
433,500,0.0,4.435,0.00887,-0.94,5.375
434,500,0.0,2.32,0.00464,0.56,1.76
435,500,0.0,2.645,0.00529,1.53,1.115
436,500,0.0,0.495,0.00099,0.15,0.345
437,500,0.0,3.395,0.00679,1.47,1.925
438,500,0.0,2.575,0.00515,0.875,1.7
439,500,0.0,1.565,0.00313,0.355,1.21
440,500,0.0,6.415,0.01283,1.105,5.31
441,500,0.0,2.97,0.00594,1.12,1.85
442,500,0.0,2.62,0.00524,1.24,1.38
443,500,0.0,-0.545,-0.00109,1.215,-1.76
444,500,0.0,2.935,0.00587,0.85,2.085
445,500,0.0,-2.025,-0.00405,0.675,-2.7
446,500,0.0,2.22,0.00444,1.1,1.12
447,500,0.0,0.675,0.00135,-0.4,1.075
448,500,0.0,1.14,0.00228,0.255,0.885
449,500,0.0,1.71,0.00342,0.86,0.85
450,500,0.0,1.815,0.00363,0.925,0.89
451,500,0.0,0.35,0.0007,0.065,0.285
452,500,0.0,0.99,0.00198,0.595,0.395
453,500,0.0,1.98,0.00396,0.28,1.7
454,500,0.0,5.72,0.01144,4.535,1.185
455,500,0.0,2.305,0.00461,0.75,1.555
456,500,0.0,1.73,0.00346,0.69,1.04
457,500,0.0,1.485,0.00297,1.215,0.27
458,500,0.0,2.235,0.00447,1.13,1.105
459,500,0.0,4.74,0.00948,-0.455,5.195
460,500,0.0,2.61,0.00522,1.19,1.42
461,500,0.0,0.525,0.00105,-0.025,0.55
462,500,0.0,-0.08,-0.00016,-0.515,0.435
463,500,0.0,3.385,0.00677,1.11,2.275
464,500,0.0,1.94,0.00388,0.93,1.01
465,500,0.0,1.255,0.00251,0.2,1.055
466,500,0.0,1.16,0.00232,0.75,0.41
467,500,0.0,1.75,0.0035,0.9,0.85
468,500,0.0,1.875,0.00375,0.74,1.135
469,500,0.0,2.375,0.00475,0.935,1.44
470,500,0.0,0.515,0.00103,0.09,0.425
471,500,0.0,5.455,0.01091,0.23,5.225
472,500,0.0,2.225,0.00445,0.825,1.4
473,500,0.0,2.44,0.00488,0.64,1.8
474,500,0.0,1.88,0.00376,0.995,0.885
475,500,0.0,1.175,0.00235,0.285,0.89
476,500,0.0,1.545,0.00309,0.375,1.17
477,500,0.0,1.47,0.00294,1.275,0.195
478,500,0.0,2.34,0.00468,1.33,1.01
479,500,0.0,3.35,0.0067,1.7,1.65
480,500,0.0,1.475,0.00295,0.69,0.785
481,500,0.0,2.785,0.00557,1.335,1.45
482,500,0.0,2.93,0.00586,1.545,1.385
483,500,0.0,2.185,0.00437,1.08,1.105
484,500,0.0,1.025,0.00205,0.775,0.25
485,500,0.0,2.335,0.00467,1.075,1.26
486,500,0.0,2.98,0.00596,1.795,1.185
487,500,0.0,2.165,0.00433,1.525,0.64
488,500,0.0,1.825,0.00365,0.975,0.85
489,500,0.0,1.335,0.00267,0.96,0.375
490,500,0.0,6.345,0.01269,1.105,5.24
491,500,0.0,-1.415,-0.00283,1.1,-2.515
492,500,0.0,2.495,0.00499,1.285,1.21
493,500,0.0,1.355,0.00271,-0.345,1.7
494,500,0.0,2.115,0.00423,1.655,0.46
495,500,0.0,-0.225,-0.00045,-0.77,0.545
496,500,0.0,1.35,0.0027,1.175,0.175
497,500,0.0,2.645,0.00529,1.445,1.2
498,500,0.0,4.2,0.0084,3.1,1.1
499,500,0.0,1.505,0.00301,0.72,0.785
500,500,0.0,3.025,0.00605,1.65,1.375
501,500,0.0,2.605,0.00521,1.95,0.655
502,500,0.0,0.935,0.00187,1.09,-0.155
503,500,0.0,2.275,0.00455,0.83,1.445
504,500,0.0,7.615,0.01523,6.165,1.45
505,500,0.0,7.125,0.01425,5.445,1.68
506,500,0.0,3.23,0.00646,0.905,2.325
507,500,0.0,3.205,0.00641,0.98,2.225
508,500,0.0,5.03,0.01006,0.165,4.865
509,500,0.0,2.29,0.00458,0.225,2.065
510,500,0.0,2.35,0.0047,0.85,1.5
511,500,0.0,1.05,0.0021,0.375,0.675
512,500,0.0,0.96,0.00192,1.045,-0.085
513,500,0.0,2.22,0.00444,1.58,0.64
514,500,0.0,2.805,0.00561,1.855,0.95
515,500,0.0,0.315,0.00063,0.07,0.245
516,500,0.0,3.08,0.00616,1.755,1.325
517,500,0.0,0.64,0.00128,-0.415,1.055
518,500,0.0,2.34,0.00468,1.275,1.065
519,500,0.0,1.115,0.00223,-0.415,1.53
520,500,0.0,1.015,0.00203,0.425,0.59
521,500,0.0,1.85,0.0037,1.175,0.675
522,500,0.0,0.355,0.00071,0.685,-0.33
523,500,0.0,2.0,0.004,0.985,1.015
524,500,0.0,3.08,0.00616,1.975,1.105
525,500,0.0,3.845,0.00769,0.84,3.005
526,500,0.0,1.455,0.00291,1.435,0.02
527,500,0.0,2.06,0.00412,1.615,0.445
528,500,0.0,3.155,0.00631,1.885,1.27
529,500,0.0,2.945,0.00589,1.025,1.92
530,500,0.0,2.95,0.0059,1.545,1.405
531,500,0.0,2.025,0.00405,1.48,0.545
532,500,0.0,3.325,0.00665,1.895,1.43
533,500,0.0,2.635,0.00527,1.565,1.07
534,500,0.0,3.07,0.00614,2.015,1.055
535,500,0.0,3.05,0.0061,1.625,1.425
536,500,0.0,3.17,0.00634,1.735,1.435
537,500,0.0,3.75,0.0075,1.975,1.775
